Entity	QRank	item	itemLabel	unitLabel	unit	maxHeight
Q859452	89254	http://www.wikidata.org/entity/Q859452	Hearst Tower	metre	http://www.wikidata.org/entity/Q11573	182.0
Q1030463	87652	http://www.wikidata.org/entity/Q1030463	Mode Gakuen Cocoon Tower	metre	http://www.wikidata.org/entity/Q11573	204.0
Q166882	87510	http://www.wikidata.org/entity/Q166882	Istanbul Sapphire	metre	http://www.wikidata.org/entity/Q11573	261.0
Q228242	86636	http://www.wikidata.org/entity/Q228242	383 Madison Avenue	metre	http://www.wikidata.org/entity/Q11573	230.0
Q572887	85093	http://www.wikidata.org/entity/Q572887	8 Canada Square	metre	http://www.wikidata.org/entity/Q11573	199.51
Q2143136	84184	http://www.wikidata.org/entity/Q2143136	Tribune Tower	metre	http://www.wikidata.org/entity/Q11573	141.0
Q30686870	83284	http://www.wikidata.org/entity/Q30686870	Thamrin Nine	metre	http://www.wikidata.org/entity/Q11573	382.9
Q2943880	81205	http://www.wikidata.org/entity/Q2943880	1211 Avenue of the Americas	metre	http://www.wikidata.org/entity/Q11573	180.44
Q1331574	79979	http://www.wikidata.org/entity/Q1331574	Tower 42	metre	http://www.wikidata.org/entity/Q11573	182.9
Q168575	79115	http://www.wikidata.org/entity/Q168575	CTF Finance Centre	metre	http://www.wikidata.org/entity/Q11573	530.0
Q1613853	77913	http://www.wikidata.org/entity/Q1613853	Heron Tower	metre	http://www.wikidata.org/entity/Q11573	230.0
Q20987795	77125	http://www.wikidata.org/entity/Q20987795	Fereshteh Pasargad Hotel	metre	http://www.wikidata.org/entity/Q11573	188.0
Q571763	76140	http://www.wikidata.org/entity/Q571763	Barolo Palace	metre	http://www.wikidata.org/entity/Q11573	100.0
Q844780	74591	http://www.wikidata.org/entity/Q844780	Kasumigaseki Building	metre	http://www.wikidata.org/entity/Q11573	147.0
Q375910	73290	http://www.wikidata.org/entity/Q375910	Kavanagh building	metre	http://www.wikidata.org/entity/Q11573	120.0
Q1985903	72394	http://www.wikidata.org/entity/Q1985903	Evolution Tower	metre	http://www.wikidata.org/entity/Q11573	255.0
Q22968	72366	http://www.wikidata.org/entity/Q22968	63 Building	metre	http://www.wikidata.org/entity/Q11573	249.0
Q368489	70932	http://www.wikidata.org/entity/Q368489	Los Angeles City Hall	metre	http://www.wikidata.org/entity/Q11573	138.0
Q659652	70817	http://www.wikidata.org/entity/Q659652	One Astor Plaza	metre	http://www.wikidata.org/entity/Q11573	227.0
