artist - title	wond	tran	tend	nost	peac	joya	ener	sadn	tens
Jay-Z - 99 Problems	5.227272727	4.712121212	0.777272727	3.607954545	8.721590909	26.31628788	24.07632576	0.0	11.33787879
Jay Z - Hard Knock Life	11.66666667	8.001190476	11.90285714	12.475	11.44142857	22.44761905	9.066666667	3.057142857	7.38
Jay-Z - The Story Of OJ	10.56547619	7.645833333	6.282142857	7.34375	19.77559524	19.26785714	12.15357143	1.976190476	12.51607143
Jay-Z & Kanye West - Ni**as In Paris	9.419871795	6.326923077	2.238461538	9.951923077	2.307692308	37.81602564	32.65737179	0.0	17.51474359
J. Cole - Wet Dreamz	18.64247312	8.497311828	12.97419355	13.6733871	18.97634409	21.4811828	14.22419355	1.397849462	7.182258065
Jedi Mind Tricks - Deathbed Doctrine	6.941666667	4.883333333	1.82	1.666666667	3.96	34.41111111	23.35944444	0.0	14.07944444
Joey Pecoraro - Your Favorite Place	16.92204301	21.68951613	26.69758065	14.39112903	44.77284946	13.53763441	5.54516129	1.569892473	6.095698925
Jurassic 5 - Work It Out	6.524774775	8.434684685	5.951351351	8.301801802	14.53378378	28.71396396	11.38648649	0.0	7.981081081
Kanye West ft. Jamie Foxx - Gold Digger	14.46323529	2.602941176	3.458823529	14.92647059	7.058823529	41.96887255	22.44705882	0.0	5.933823529
Kanye West - Runaway	8.319892473	1.637096774	7.101612903	6.760752688	8.665053763	16.82123656	3.948387097	5.161290323	14.90967742
Kanye West - Touch The Sky	9.758928571	5.6875	6.0	11.27232143	10.47619048	29.13630952	14.61785714	0.523809524	4.1375
Kendrick Lamar - Alright	5.77027027	3.468468468	0.0	3.716216216	4.504054054	15.31306306	9.443243243	0.0	12.10720721
Kendrick Lamar ft. Gunplay - Cartoons & Cereal	7.922043011	10.45967742	0.0	3.225806452	2.806451613	18.59677419	10.32419355	3.010752688	22.04005376
Kendrick Lamar - i	4.421052632	4.052631579	1.105263158	0.0	2.147368421	17.98684211	9.281578947	0.0	14.25087719
Kendrick Lamar - Rigamortus	5.638888889	3.208333333	1.76	2.125	5.888333333	20.82	15.46222222	1.013888889	18.50888889
Killer Mike - A.D.I.D.A.S.	10.75520833	0.9296875	1.35	3.984375	10.0125	24.29088542	5.441666667	1.375	8.172916667
K.I.Z. - Ein Affe und ein Pferd	7.311111111	4.986111111	4.32	2.45	6.833333333	21.425	20.86277778	0.0	26.66444444
LL Cool J - Around The Way Girl	11.40833333	5.45	11.04777778	8.033333333	20.31972222	26.31277778	10.46333333	1.133333333	3.79
Logic - Black Spiderman	8.211904762	7.9	4.748571429	4.953571429	7.221428571	21.5	12.5247619	1.783333333	11.44833333
Lord Finesse - Midas Era	11.32051282	9.461538462	2.340384615	8.100961538	19.44551282	24.10448718	9.358974359	0.743589744	13.39038462
Marteria - Kids	3.199275362	8.710144928	0.0	2.527173913	7.052173913	22.05434783	4.669565217	3.949275362	12.32318841
Mattafix - Big City Life	17.52011494	10.70977011	7.544827586	15.3045977	14.58965517	23.90229885	11.57586207	0.0	4.51954023
Max Herre - 1Ste Liebe	4.512254902	3.433823529	7.963235294	8.709558824	12.26617647	12.99264706	0.597058824	0.0	11.03970588
Method Man & Redman - How High	9.598765432	1.978395062	0.911111111	1.388888889	10.00555556	21.35802469	12.38919753	0.0	8.725925926
Missy Elliott - Work It	7.684782609	5.467391304	1.536956522	3.315217391	0.260869565	24.61086957	12.28043478	0.0	11.66376812
monte booker - 23	9.148148148	14.08641975	7.4	5.944444444	16.07345679	18.69907407	7.071604938	0.0	17.6037037
NAS - Doo Rags	24.43055556	18.56944444	19.875	14.29166667	17.55	24.67361111	27.47708333	2.5	0.0
Nas - If I Ruled The World (Imagine That)	7.630434783	11.36231884	1.552173913	4.684782609	9.655434783	17.39637681	14.56956522	0.0	8.597101449
NAS - N.Y. State of Mind	1.433333333	6.008333333	0.0	0.90625	4.1425	14.07083333	17.42	2.4	19.73833333
N.E.R.D & Rihanna - Lemon	5.517361111	1.944444444	1.975	3.125	1.24375	18.625	15.43194444	0.0	12.76875
Nicki Minaj feat. Drake - Moment 4 Life	8.604166667	14.175	0.0	2.0	2.88	27.59375	31.2825	0.566666667	9.693333333
No Spirit - Glowing Lights	3.716216216	9.326576577	12.41216216	12.83783784	36.66486486	1.844594595	2.756756757	3.855855856	3.324324324
The Notorious B.I.G. - Juicy	10.78333333	8.216666667	5.297142857	8.707142857	13.6	20.12142857	11.27809524	1.561904762	4.142857143
Obie Trice - Got some Teeth	2.019230769	7.538461538	3.3	5.240384615	7.5	32.95064103	20.54807692	0.0	13.02115385
OutKast - B.O.B.	6.125	9.1	0.16	3.083333333	6.885	31.78388889	22.0625	0.444444444	17.60972222
OutKast - Ms. Jackson	14.36666667	3.354166667	1.23	22.09375	2.43	24.52291667	9.1475	4.233333333	6.835
The Pharcyde - Passin' Me By	11.72839506	4.018518519	6.111111111	3.009259259	8.785185185	21.59259259	13.97716049	0.0	15.83888889
Pharoahe Monch - Let's Go	5.101190476	7.717261905	0.0	2.544642857	8.464285714	16.68303571	13.39464286	0.0	8.933035714
Philanthrope x tusken - pueblo	7.515151515	10.43181818	10.9479798	15.09469697	27.08787879	6.136363636	2.521212121	2.305555556	4.037878788
Post Malone - Congratulations	10.35810811	3.626126126	4.360810811	14.1204955	16.95	26.86621622	16.18783784	1.63963964	7.604954955
Prinz Pi - Gibt dem Affen Zucker	5.881944444	1.895833333	0.0	0.0	2.785416667	18.625	14.64166667	0.0	16.28541667
Prinz Pi - Laura	6.536764706	5.024509804	4.604411765	6.948529412	8.443137255	3.583333333	8.008823529	9.495098039	13.60392157
Public Enemy - Harder Than You Think	13.39367816	5.922413793	0.0	4.198275862	5.234482759	30.53591954	25.13563218	1.752873563	13.01637931
quickly quickly - swingtheory	6.204166667	9.083333333	3.87	7.40625	14.56916667	13.84916667	6.93	0.0	16.505
The Roots ft. Erykah Badu - You Got Me	13.36781609	6.014367816	13.3683908	17.75862069	14.36666667	5.360632184	7.312643678	10.13793103	5.374712644
Sage Francis - Crack Pipes	5.853333333	10.56333333	1.104	7.975	3.96	5.591666667	10.494	8.09	14.431
Salt-N-Pepa - Shoop	10.04411765	7.394607843	3.137254902	4.871323529	8.905882353	38.18602941	18.51323529	0.0	2.964705882
Scroobius Pip - Let 'Em Come	4.688271605	8.354938272	1.911111111	0.902777778	1.666666667	10.91820988	18.47222222	0.0	28.36820988
SIDO - Fuffies Im Club	4.12654321	9.24691358	2.177777778	0.856481481	3.911111111	16.89814815	7.355555556	0.987654321	19.37407407
Soul Position - Priceless	6.956790123	3.435185185	3.683333333	1.296296296	11.27777778	20.55864198	4.65	0.0	6.295061728
SSIO - Nullkommaneun	8.890804598	10.40517241	1.055172414	1.056034483	2.751724138	21.99137931	13.3362069	0.0	23.22729885
